id,statement
0,You regularly make new friends.
1,You spend a lot of your free time exploring various random topics that pique your interest.
2,Seeing other people cry can easily make you feel like you want to cry too.
3,You often make a backup plan for a backup plan.
4,"You usually stay calm, even under a lot of pressure."
5,"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know."
6,You prefer to completely finish one project before starting another.
7,You are very sentimental.
8,You like to use organizing tools like schedules and lists.
9,Even a small mistake can cause you to doubt your overall abilities and knowledge.
10,You feel comfortable just walking up to someone you find interesting and striking up a conversation.
11,You are not too interested in discussing various interpretations and analyses of creative works.
12,You are more inclined to follow your head than your heart.
13,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.
14,You rarely worry about whether you make a good impression on people you meet.
15,You enjoy participating in group activities.
16,You like books and movies that make you come up with your own interpretation of the ending.
17,Your happiness comes more from helping others accomplish things than your own accomplishments.
18,You are interested in so many things that you find it difficult to choose what to try next.
19,You are prone to worrying that things will take a turn for the worse.
20,You avoid leadership roles in group settings.
21,You are definitely not an artistic type of person.
22,You think the world would be a better place if people relied more on rationality and less on their feelings.
23,You prefer to do your chores before allowing yourself to relax.
24,You enjoy watching people argue.
25,You tend to avoid drawing attention to yourself.
26,Your mood can change very quickly.
27,You lose patience with people who are not as efficient as you.
28,You often end up doing things at the last possible moment.
29,"You have always been fascinated by the question of what, if anything, happens after death."
30,You usually prefer to be around others rather than on your own.
31,You become bored or lose interest when the discussion gets highly theoretical.
32,You find it easy to empathize with a person whose experiences are very different from yours.
33,You usually postpone finalizing decisions for as long as possible.
34,You rarely second-guess the choices that you have made.
35,"After a long and exhausting week, a lively social event is just what you need."
36,You enjoy going to art museums.
37,You often have a hard time understanding other people’s feelings.
38,You like to have a to-do list for each day.
39,You rarely feel insecure.
40,You avoid making phone calls.
41,You often spend a lot of time trying to understand views that are very different from your own.
42,"In your social circle, you are often the one who contacts your friends and initiates activities."
43,"If your plans are interrupted, your top priority is to get back on track as soon as possible."
44,You are still bothered by mistakes that you made a long time ago.
45,You rarely contemplate the reasons for human existence or the meaning of life.
46,Your emotions control you more than you control them.
47,"You take great care not to make people look bad, even when it is completely their fault."
48,Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.
49,"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you."
50,You would love a job that requires you to work alone most of the time.
51,You believe that pondering abstract philosophical questions is a waste of time.
52,"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places."
53,You know at first glance how someone is feeling.
54,You often feel overwhelmed.
55,You complete things methodically without skipping over any steps.
56,You are very intrigued by things labeled as controversial.
57,You would pass along a good opportunity if you thought someone else needed it more.
58,You struggle with deadlines.
59,You feel confident that things will work out for you.
